    FLAG
     506     930       1
     END
     506                   X                   Y                   Z
       1        0.0327237279       -0.4675398322        0.0000000000
       2        0.0000000000       -0.5000000000        0.0000000000
       3        0.0500000000       -0.5000000000        0.0000000000
       4        0.0000000000       -0.4500000000        0.0000000000
       5        0.0731134326       -0.4602176431        0.0000000000
       6        0.0404932399       -0.4275225568        0.0000000000
       7        0.1000000000       -0.5000000000        0.0000000000
       8        0.0000000000       -0.4000000000        0.0000000000
       9        0.0924865206       -0.4095280828        0.0000000000
      10        0.1229261982       -0.4568075365        0.0000000000
      11        0.0446138475       -0.3779592967        0.0000000000
      12        0.1500000000       -0.5000000000        0.0000000000
      13        0.1479155424       -0.4143154632        0.0000000000
      14        0.0000000000       -0.3500000000        0.0000000000
      15        0.0899158013       -0.3539621736        0.0000000000
      16        0.1738952531       -0.4568714970        0.0000000000
      17        0.1282997327       -0.3761351502        0.0000000000
      18        0.0448146679       -0.3269204141        0.0000000000
      19        0.2000000000       -0.5000000000        0.0000000000
      20        0.1979531590       -0.4139065487        0.0000000000
      21        0.1715780091       -0.3727424095        0.0000000000
      22        0.0000000000       -0.3000000000        0.0000000000
      23        0.1394067362       -0.3302784773        0.0000000000
      24        0.0899038306       -0.3032153354        0.0000000000
      25        0.2242964506       -0.4562259188        0.0000000000
      26        0.0446191800       -0.2766038801        0.0000000000
      27        0.2213768925       -0.3712133098        0.0000000000
      28        0.2500000000       -0.5000000000        0.0000000000
      29        0.1939673393       -0.3305854986        0.0000000000
      30        0.2480528192       -0.4120323112        0.0000000000
      31        0.1321970142       -0.2786183483        0.0000000000
      32        0.0000000000       -0.2500000000        0.0000000000
      33        0.0887776924       -0.2531641755        0.0000000000
      34        0.1698393057       -0.2967750040        0.0000000000
      35        0.2754981432       -0.4545282201        0.0000000000
      36        0.2505414274       -0.3254609648        0.0000000000
      37        0.2652649956       -0.3723245429        0.0000000000
      38        0.0445665941       -0.2265298511        0.0000000000
      39        0.3000000000       -0.5000000000        0.0000000000
      40        0.2104078538       -0.2867564538        0.0000000000
      41        0.1325310275       -0.2308573804        0.0000000000
      42        0.3031461969       -0.4039139904        0.0000000000
      43        0.1730532328       -0.2574115912        0.0000000000
      44        0.0000000000       -0.2000000000        0.0000000000
      45        0.0895076159       -0.2033399703        0.0000000000
      46        0.3023011456       -0.3488238732        0.0000000000
      47        0.3270850384       -0.4550255158        0.0000000000
      48        0.2576722734       -0.2698182985        0.0000000000
      49        0.0450073856       -0.1762185642        0.0000000000
      50        0.3014915360       -0.2981198651        0.0000000000
      51        0.2167888064       -0.2398442684        0.0000000000
      52        0.1766921742       -0.2111539700        0.0000000000
      53        0.3500000000       -0.5000000000        0.0000000000
      54        0.1356714637       -0.1812894777        0.0000000000
      55        0.3463195409       -0.3701577704        0.0000000000
      56        0.3565375457       -0.4145947547        0.0000000000
      57        0.0000000000       -0.1500000000        0.0000000000
      58        0.0913849641       -0.1520168651        0.0000000000
      59        0.3457904649       -0.3227980797        0.0000000000
      60        0.3040714020       -0.2475492708        0.0000000000
      61        0.2617497329       -0.2202969029        0.0000000000
      62        0.3769985531       -0.4572806472        0.0000000000
      63        0.2208844025       -0.1927180099        0.0000000000
      64        0.0451736556       -0.1254890686        0.0000000000
      65        0.1817116514       -0.1641469107        0.0000000000
      66        0.3471987721       -0.2737340686        0.0000000000
      67        0.3827476376       -0.3845957515        0.0000000000
      68        0.1431454094       -0.1259116640        0.0000000000
      69        0.3863872228       -0.3465188823        0.0000000000
      70        0.4000000000       -0.5000000000        0.0000000000
      71        0.4023626151       -0.4170015326        0.0000000000
      72        0.0000000000       -0.1000000000        0.0000000000
      73        0.3061893468       -0.1983093918        0.0000000000
      74        0.0907323062       -0.0997664830        0.0000000000
      75        0.2642522003       -0.1724604257        0.0000000000
      76        0.3897069543       -0.2994461032        0.0000000000
      77        0.3489253182       -0.2241804751        0.0000000000
      78        0.2242058010       -0.1474179384        0.0000000000
      79        0.4258065397       -0.4573529662        0.0000000000
      80        0.1903487066       -0.1256774841        0.0000000000
      81        0.0444599242       -0.0749244605        0.0000000000
      82        0.4215415987       -0.3751959377        0.0000000000
      83        0.1333568152       -0.0709506758        0.0000000000
      84        0.3918131504       -0.2499836495        0.0000000000
      85        0.4311988391       -0.3273924385        0.0000000000
      86        0.3072517829       -0.1496756397        0.0000000000
      87        0.1798314188       -0.0870752670        0.0000000000
      88        0.4500000000       -0.5000000000        0.0000000000
      89        0.4501700915       -0.4135331456        0.0000000000
      90        0.3500568405       -0.1747922587        0.0000000000
      91        0.0000000000       -0.0500000000        0.0000000000
      92        0.2649411153       -0.1253331260        0.0000000000
      93        0.0876518370       -0.0491700451        0.0000000000
      94        0.2233713835       -0.1032849691        0.0000000000
      95        0.4346247728       -0.2764712231        0.0000000000
      96        0.3930705603       -0.2001730279        0.0000000000
      97        0.4751896654       -0.4566025652        0.0000000000
      98        0.4757806320       -0.3627623840        0.0000000000
      99        0.1714654344       -0.0400473663        0.0000000000
     100        0.0436265582       -0.0250827378        0.0000000000
     101        0.3504448462       -0.1254611692        0.0000000000
     102        0.1279660980       -0.0234578967        0.0000000000
     103        0.3071229713       -0.1009566470        0.0000000000
     104        0.4361715444       -0.2258543454        0.0000000000
     105        0.4782984372       -0.3044917149        0.0000000000
     106        0.2178209373       -0.0561030077        0.0000000000
     107        0.5000000000       -0.5000000000        0.0000000000
     108        0.2633203511       -0.0774531047        0.0000000000
     109        0.3936635751       -0.1504139759        0.0000000000
     110        0.5000852763       -0.4127536116        0.0000000000
     111        0.0000000000        0.0000000000        0.0000000000
     112        0.0863421786       -0.0007041969        0.0000000000
     113        0.4795966819       -0.2520003178        0.0000000000
     114        0.4368815994       -0.1756205672        0.0000000000
     115        0.1614654439       -0.0011452894        0.0000000000
     116        0.5241278930       -0.3307569136        0.0000000000
     117        0.5250082970       -0.4561690479        0.0000000000
     118        0.3502577532       -0.0759055463        0.0000000000
     119        0.2086717596       -0.0012246704        0.0000000000
     120        0.5245437044       -0.3757362141        0.0000000000
     121        0.3937924660       -0.1006481292        0.0000000000
     122        0.0436334043        0.0243528932        0.0000000000
     123        0.3061485466       -0.0514473798        0.0000000000
     124        0.1279763037        0.0214928069        0.0000000000
     125        0.2603470188       -0.0271254510        0.0000000000
     126        0.4802069130       -0.2010423298        0.0000000000
     127        0.5238386179       -0.2780140600        0.0000000000
     128        0.4371362862       -0.1255984675        0.0000000000
     129        0.5500000000       -0.5000000000        0.0000000000
     130        0.5496716134       -0.4119505811        0.0000000000
     131        0.0000000000        0.0500000000        0.0000000000
     132        0.0876734361        0.0477623718        0.0000000000
     133        0.1714751000        0.0377152587        0.0000000000
     134        0.5728879922       -0.3606014364        0.0000000000
     135        0.5238078580       -0.2264836917        0.0000000000
     136        0.3936923924       -0.0507691993        0.0000000000
     137        0.4804524300       -0.1506916334        0.0000000000
     138        0.3499200602       -0.0259708211        0.0000000000
     139        0.5690895389       -0.3031879963        0.0000000000
     140        0.2603287640        0.0247722681        0.0000000000
     141        0.5750768319       -0.4557458035        0.0000000000
     142        0.3055243901       -0.0010532074        0.0000000000
     143        0.4371570893       -0.0756393672        0.0000000000
     144        0.2178106746        0.0536482177        0.0000000000
     145        0.0444804048        0.0742037477        0.0000000000
     146        0.1333880936        0.0689818146        0.0000000000
     147        0.5238385245       -0.1758368979        0.0000000000
     148        0.5677076599       -0.2514541954        0.0000000000
     149        0.6003619120       -0.4106682425        0.0000000000
     150        0.4805062437       -0.1005951954        0.0000000000
     151        0.6000000000       -0.5000000000        0.0000000000
     152        0.6143989663       -0.3233919324        0.0000000000
     153        0.3935946738       -0.0007752911        0.0000000000
     154        0.0000000000        0.1000000000        0.0000000000
     155        0.0907784313        0.0983835995        0.0000000000
     156        0.1798504531        0.0847366752        0.0000000000
     157        0.4370989795       -0.0256683199        0.0000000000
     158        0.3498820081        0.0241598485        0.0000000000
     159        0.5673025012       -0.2008324477        0.0000000000
     160        0.3060916497        0.0493502274        0.0000000000
     161        0.6278497055       -0.3684412305        0.0000000000
     162        0.2632722035        0.0751166736        0.0000000000
     163        0.5238391840       -0.1256008110        0.0000000000
     164        0.6113329997       -0.2749874030        0.0000000000
     165        0.6254148122       -0.4555873279        0.0000000000
     166        0.4804759411       -0.0505882377        0.0000000000
     167        0.0452094934        0.1248036157        0.0000000000
     168        0.2233587856        0.1008533413        0.0000000000
     169        0.1432088507        0.1239581700        0.0000000000
     170        0.5671825624       -0.1505790048        0.0000000000
     171        0.6106163916       -0.2253866966        0.0000000000
     172        0.6512331051       -0.4114819604        0.0000000000
     173        0.4370515857        0.0243199033        0.0000000000
     174        0.3936075827        0.0492258853        0.0000000000
     175        0.5238046416       -0.0755384851        0.0000000000
     176        0.6522846185       -0.3360467898        0.0000000000
     177        0.6500000000       -0.5000000000        0.0000000000
     178        0.6527482047       -0.2969651240        0.0000000000
     179        0.3501549942        0.0741138525        0.0000000000
     180        0.0000000000        0.1500000000        0.0000000000
     181        0.0914634259        0.1507383251        0.0000000000
     182        0.3070312831        0.0988968249        0.0000000000
     183        0.4804249494       -0.0006024528        0.0000000000
     184        0.1903822232        0.1233453627        0.0000000000
     185        0.6104624327       -0.1754303406        0.0000000000
     186        0.2648956762        0.1230618304        0.0000000000
     187        0.6758077179       -0.3682287791        0.0000000000
     188        0.5671227823       -0.1004943228        0.0000000000
     189        0.6531868329       -0.2495506489        0.0000000000
     190        0.6758144105       -0.4554732978        0.0000000000
     191        0.5237544142       -0.0255406478        0.0000000000
     192        0.0450600689        0.1756081050        0.0000000000
     193        0.4370254858        0.0743034062        0.0000000000
     194        0.1358051851        0.1795968501        0.0000000000
     195        0.2242317618        0.1450875436        0.0000000000
     196        0.3936499627        0.0991329422        0.0000000000
     197        0.1818076305        0.1620040294        0.0000000000
     198        0.6904224263       -0.3230728400        0.0000000000
     199        0.6104172284       -0.1254193360        0.0000000000
     200        0.4803779543        0.0493875431        0.0000000000
     201        0.6534794683       -0.2001679173        0.0000000000
     202        0.7020847163       -0.4102780246        0.0000000000
     203        0.3503252551        0.1237266782        0.0000000000
     204        0.5670695379       -0.0504861645        0.0000000000
     205        0.7000000000       -0.5000000000        0.0000000000
     206        0.6945577031       -0.2747017467        0.0000000000
     207        0.3071931991        0.1477076451        0.0000000000
     208        0.0000000000        0.2000000000        0.0000000000
     209        0.0896268012        0.2022384955        0.0000000000
     210        0.5237023327        0.0244434615        0.0000000000
     211        0.2642907795        0.1703143392        0.0000000000
     212        0.6536216568       -0.1503096631        0.0000000000
     213        0.7307825559       -0.3599283050        0.0000000000
     214        0.6103772429       -0.0754261961        0.0000000000
     215        0.4369643038        0.1242939993        0.0000000000
     216        0.6960604729       -0.2251686491        0.0000000000
     217        0.1769175702        0.2092491370        0.0000000000
     218        0.7261307444       -0.4553914137        0.0000000000
     219        0.2210361976        0.1905660653        0.0000000000
     220        0.4803291407        0.0994100479        0.0000000000
     221        0.5670153621       -0.0005061556        0.0000000000
     222        0.3935455825        0.1489632656        0.0000000000
     223        0.0446319354        0.2260169763        0.0000000000
     224        0.1327549494        0.2294121129        0.0000000000
     225        0.7360133755       -0.3026058178        0.0000000000
     226        0.3500391431        0.1731802231        0.0000000000
     227        0.5236539796        0.0744474654        0.0000000000
     228        0.6536591914       -0.1003553844        0.0000000000
     229        0.6966631709       -0.1752707064        0.0000000000
     230        0.7526294471       -0.4111231435        0.0000000000
     231        0.3062984760        0.1964995862        0.0000000000
     232        0.6103285435       -0.0254524603        0.0000000000
     233        0.7384850082       -0.2510118871        0.0000000000
     234        0.7500000000       -0.5000000000        0.0000000000
     235        0.2620187932        0.2182928619        0.0000000000
     236        0.0000000000        0.2500000000        0.0000000000
     237        0.5669610053        0.0494740326        0.0000000000
     238        0.0889361408        0.2522538349        0.0000000000
     239        0.4802514480        0.1495356358        0.0000000000
     240        0.2172030060        0.2378632509        0.0000000000
     241        0.4367775529        0.1743612948        0.0000000000
     242        0.7798412778       -0.3298487928        0.0000000000
     243        0.6968843985       -0.1253002098        0.0000000000
     244        0.1734831489        0.2557484121        0.0000000000
     245        0.6536399582       -0.0503923322        0.0000000000
     246        0.7783517623       -0.3745915510        0.0000000000
     247        0.7395893513       -0.2005018848        0.0000000000
     248        0.5236155077        0.1245267926        0.0000000000
     249        0.7762133942       -0.4554964637        0.0000000000
     250        0.3931576633        0.1988283726        0.0000000000
     251        0.6102706965        0.0245125825        0.0000000000
     252        0.3492289012        0.2228263261        0.0000000000
     253        0.7815513768       -0.2774208385        0.0000000000
     254        0.0446881784        0.2761903353        0.0000000000
     255        0.1325335246        0.2774247615        0.0000000000
     256        0.5669150408        0.0994847006        0.0000000000
     257        0.3045182345        0.2459072305        0.0000000000
     258        0.6969367842       -0.0753314218        0.0000000000
     259        0.7400491889       -0.1503269333        0.0000000000
     260        0.2584159357        0.2677876948        0.0000000000
     261        0.8020841611       -0.4112621410        0.0000000000
     262        0.6535908058       -0.0004349982        0.0000000000
     263        0.7826487110       -0.2260506937        0.0000000000
     264        0.4800895118        0.1999056028        0.0000000000
     265        0.8000000000       -0.5000000000        0.0000000000
     266        0.2112927043        0.2849183494        0.0000000000
     267        0.5236056185        0.1747939967        0.0000000000
     268        0.6102037053        0.0744779015        0.0000000000
     269        0.8262405797       -0.3611673582        0.0000000000
     270        0.0000000000        0.3000000000        0.0000000000
     271        0.4363351340        0.2245867423        0.0000000000
     272        0.0900947723        0.3024969998        0.0000000000
     273        0.8257496365       -0.3039407381        0.0000000000
     274        0.1704871433        0.2953770625        0.0000000000
     275        0.7402082799       -0.1002896158        0.0000000000
     276        0.3924545113        0.2487414586        0.0000000000
     277        0.6969158630       -0.0253731992        0.0000000000
     278        0.5669153296        0.1495806959        0.0000000000
     279        0.7832192435       -0.1754826060        0.0000000000
     280        0.3481357605        0.2732068905        0.0000000000
     281        0.8263996954       -0.4553529735        0.0000000000
     282        0.6535144708        0.0495125886        0.0000000000
     283        0.8261072968       -0.2516670612        0.0000000000
     284        0.3021773341        0.2960611395        0.0000000000
     285        0.0448706698        0.3266037202        0.0000000000
     286        0.6101449086        0.1244515934        0.0000000000
     287        0.2526138341        0.3229714656        0.0000000000
     288        0.1399310379        0.3293867629        0.0000000000
     289        0.8525680306       -0.4102441380        0.0000000000
     290        0.5236616220        0.2254776114        0.0000000000
     291        0.7402341303       -0.0503098301        0.0000000000
     292        0.7834630002       -0.1252912269        0.0000000000
     293        0.4796914607        0.2507804257        0.0000000000
     294        0.6968503665        0.0245729671        0.0000000000
     295        0.1952397111        0.3293360996        0.0000000000
     296        0.8705364501       -0.3275663981        0.0000000000
     297        0.8264994855       -0.2007114834        0.0000000000
     298        0.5670727849        0.1998725280        0.0000000000
     299        0.8500000000       -0.5000000000        0.0000000000
     300        0.4353350490        0.2748620118        0.0000000000
     301        0.6534024997        0.0994389885        0.0000000000
     302        0.0000000000        0.3500000000        0.0000000000
     303        0.8698957882       -0.2767047946        0.0000000000
     304        0.3917076011        0.2978654878        0.0000000000
     305        0.0900870472        0.3534547125        0.0000000000
     306        0.8743208122       -0.3714794235        0.0000000000
     307        0.6101746956        0.1744341293        0.0000000000
     308        0.3476773417        0.3273508789        0.0000000000
     309        0.7835380104       -0.0752561063        0.0000000000
     310        0.7401956647       -0.0003545622        0.0000000000
     311        0.8775104035       -0.4553514906        0.0000000000
     312        0.8267326520       -0.1503353870        0.0000000000
     313        0.3006261224        0.3385917404        0.0000000000
     314        0.6967259319        0.0744975391        0.0000000000
     315        0.8699227718       -0.2258296863        0.0000000000
     316        0.2241947363        0.3710266781        0.0000000000
     317        0.5238237205        0.2770297264        0.0000000000
     318        0.1725944141        0.3722708589        0.0000000000
     319        0.0446430726        0.3777431329        0.0000000000
     320        0.6532674430        0.1493035188        0.0000000000
     321        0.5676478278        0.2506100011        0.0000000000
     322        0.1286888366        0.3756364775        0.0000000000
     323        0.4785789730        0.3029219437        0.0000000000
     324        0.9087981686       -0.4073288342        0.0000000000
     325        0.9134474962       -0.3012132261        0.0000000000
     326        0.7835324873       -0.0252793392        0.0000000000
     327        0.2753811831        0.3726744734        0.0000000000
     328        0.8268308756       -0.1002200770        0.0000000000
     329        0.9133871306       -0.3516196111        0.0000000000
     330        0.7400946507        0.0495815700        0.0000000000
     331        0.4325528394        0.3242495308        0.0000000000
     332        0.6105280746        0.2244031062        0.0000000000
     333        0.8700443038       -0.1753745760        0.0000000000
     334        0.9000000000       -0.5000000000        0.0000000000
     335        0.3930770166        0.3386173826        0.0000000000
     336        0.6965068795        0.1243688706        0.0000000000
     337        0.9133669808       -0.2507136506        0.0000000000
     338        0.0000000000        0.4000000000        0.0000000000
     339        0.3243414868        0.3736725435        0.0000000000
     340        0.0926009121        0.4092564562        0.0000000000
     341        0.6532085852        0.1989816959        0.0000000000
     342        0.1990080369        0.4143414490        0.0000000000
     343        0.9272940671       -0.4594211398        0.0000000000
     344        0.8268509929       -0.0502098764        0.0000000000
     345        0.7834692769        0.0246716326        0.0000000000
     346        0.5692104891        0.3026069222        0.0000000000
     347        0.1483514047        0.4141513965        0.0000000000
     348        0.5240952079        0.3298173821        0.0000000000
     349        0.8701226654       -0.1251966976        0.0000000000
     350        0.3723157943        0.3731775614        0.0000000000
     351        0.2497615149        0.4146023114        0.0000000000
     352        0.7398843346        0.0994895428        0.0000000000
     353        0.9133822751       -0.2003479230        0.0000000000
     354        0.9564792048       -0.3768778291        0.0000000000
     355        0.6117643004        0.2742620317        0.0000000000
     356        0.9566764509       -0.3258061994        0.0000000000
